Position ,Total years of experience,Seniority level,Yearly brutto salary (without bonus and stocks) in EUR,Employment status,Сontract duration,Company size,Company type,"Have you received additional monetary support from your employer due to Work From Home? If yes, how much in 2020 in EUR",Programming languages,Frameworks / Libs,Databases,Design,Clouds,Platform,DevOps tools
Data Analyst,2,Middle,62000,Full-time employee,Unlimited contract,101-1000,Product,,,,,,,,
QA Engineer,11,Senior,60000,Full-time employee,Unlimited contract,101-1000,Product,,Python; ,,,,,,
Software Engineer,2,Middle,58000,Full-time employee,Unlimited contract,011-050,Consulting / Agency,,No info,No info,No info,No info,No info,No info,No info
Product Manager,17,Lead,81000,Full-time employee,Unlimited contract,011-050,Product,1500,,,,,,Linux; ,
DevOps,13,Lead,70000,Full-time employee,Unlimited contract,011-050,Product,,No info,No info,No info,No info,No info,No info,No info
Frontend Developer,6,Senior,80000,Full-time employee,Unlimited contract,011-050,Product,no,JavaScript; ,,,,,,
Data Scientist,7,Senior,70000,Full-time employee,Unlimited contract,101-1000,Startup,200,,,,,,,
Software Engineer,6,Middle,63700,Full-time employee,Unlimited contract,1000+,e-commerce,580,Java; ,,,,,,
Software Engineer,4,Middle,65000,Full-time employee,Unlimited contract,101-1000,Product,,C#; ,,,,,,
Product Manager,3,Junior,30000,Full-time employee,Unlimited contract,011-050,Product,,No info,No info,No info,No info,No info,No info,No info
Data Scientist,4,Middle,70000,Full-time employee,Unlimited contract,101-1000,Product,250,Python; ,,,,,,
Frontend Developer,10,Middle,48000,Part-time employee,Unlimited contract,101-1000,Product,,,,,,,,
Software Developer in Test,9,Lead,66000,Full-time employee,Unlimited contract,101-1000,Startup,,Java; ,,,,,,
Data Analyst,3,,67000,Full-time employee,Unlimited contract,1000+,Product,,Python; ,,,,,,
Mobile Developer,10,Senior,70000,Full-time employee,Unlimited contract,51-100,Product,,Kotlin; ,,,,,Android; ,
Data Scientist,4,Middle,65000,Full-time employee,Unlimited contract,101-1000,,1000,Python; ,,,,,,
Software Architect,20,Lead,122000,Full-time employee,Unlimited contract,1000+,Product,200,,,,,,,
Software Engineer,15,Senior,150000,Full-time employee,,,,,Java; ,,,,,,
Frontend Developer,,Middle,40800,Full-time employee,Unlimited contract,101-1000,Product,,JavaScript; ,,,,,,
Software Engineer,6,Middle,58000,Full-time employee,Temporary contract,1000+,Product,,PHP; ,,,,,,
QA Engineer,6,Middle,69200,Full-time employee,Unlimited contract,101-1000,SaaS,,Groovy; Java; ,,,,,,
Software Engineer,7,Senior,72000,Full-time employee,Unlimited contract,011-050,Startup,1500,Python; ,,,,,,
Technical account manager ,4,Key,57000,Full-time employee,Unlimited contract,101-1000,Product,500,No info,No info,No info,No info,No info,No info,No info
Software Engineer,16,Lead,84000,Full-time employee,Unlimited contract,101-1000,Product,,PHP; ,,,,,,
Data Scientist,5,Middle,59000,Full-time employee,Unlimited contract,101-1000,Startup,300,Python; ,,,,,,
Frontend Developer,7,Middle,68000,Full-time employee,Unlimited contract,101-1000,Startup,,TypeScript; ,,,,,,
Data Engineer,5,Middle,68000,Full-time employee,Unlimited contract,1000+,Startup,1000,Python; ,,,,,,
Software Engineer,10,Senior,88000,Full-time employee,Unlimited contract,1000+,Product,,TypeScript; ,,,,,,
Software Engineer,5,Middle,71000,Full-time employee,Unlimited contract,1000+,Product,,Swift; ,,,,,,
Data Engineer,5,Middle,65000,Full-time employee,Unlimited contract,101-1000,Product,500,Scala; ,,,,,,
Data Scientist,5,Middle,50000,Full-time employee,Unlimited contract,101-1000,Startup,,Python; ,,,,,,
Software Engineer,18,Senior,160000,Self-employed (freelancer),Temporary contract,0-10,Consulting / Agency,,Java; ,,,,,,
Data Scientist,4,Middle,37500,Full-time employee,Unlimited contract,101-1000,Consulting / Agency,,Python; ,,,,,,
Software Engineer,10,Middle,65000,Full-time employee,Unlimited contract,51-100,Startup,,,,,,,,
Software Engineer,5,Middle,56000,Full-time employee,Unlimited contract,011-050,Startup,0,Java; ,,,,,,
DevOps,7,Senior,80000,Full-time employee,Unlimited contract,101-1000,Startup,No,Golang; ,,,,,,
Software Engineer,16,Senior,83000,Full-time employee,Unlimited contract,1000+,Product,700,Java; ,,,,,,
QA Engineer,5,Senior,76500,Full-time employee,Unlimited contract,1000+,Product,0,Java; ,,,,,,
Frontend Developer,8,Senior,60000,Full-time employee,Unlimited contract,011-050,Product,0,TypeScript; ,,,,,,
Frontend Developer,8,Senior,79000,Full-time employee,Unlimited contract,1000+,Product,,TypeScript; ,,,,,,
Data Scientist,5,Middle,90000,Full-time employee,Unlimited contract,101-1000,Product,,Python; ,,,,,,
ML Engineer,6,Middle,82000,Full-time employee,Unlimited contract,1000+,Product,,Python; ,,,,,,
Data Scientist,9,Middle,50000,,Unlimited contract,0-10,Product,,Python; ,,,,,,
Backend Developer,10,Senior,78000,Full-time employee,Unlimited contract,011-050,Startup,,Scala; ,,,,,,
Software Engineer,6,Senior,60000,Full-time employee,Unlimited contract,101-1000,Product,,PHP; ,,,,,,
Frontend Developer,10,Senior,75000,Full-time employee,Unlimited contract,1000+,Startup,,JavaScript; ,,,,,,
Tech Leader,24,Head,130000,Full-time employee,Unlimited contract,101-1000,Product,,Java; ,,,,,,
Chief Research Officer,10,C-level executive manager,115000,Full-time employee,Unlimited contract,51-100,Startup,0,Python; ,,,,,,
QA Engineer,7,Senior,65000,Full-time employee,Temporary contract,51-100,Startup,,Swift; ,,,,,,
SRE,10,Senior,75000,Full-time employee,Unlimited contract,101-1000,Product,300,,,,,,,
ML Engineer,2,Middle,36000,Full-time employee,Unlimited contract,1000+,Product,0,Java; ,,,,,,
Data Scientist,6,Senior,76000,Full-time employee,Unlimited contract,1000+,Product,700,Python; ,,,,,,
Data Engineer,5,Lead,90000,Full-time employee,Unlimited contract,1000+,Product,700,No info,No info,No info,No info,No info,No info,No info
Data Engineer,2,Middle,54000,Full-time employee,Unlimited contract,1000+,Product,700,Python; ,,,,,,
Data Engineer,3,Senior,65000,Full-time employee,Unlimited contract,1000+,Product,700,Scala; ,,,,,,
Product Manager,3,Junior,30000,Full-time employee,Unlimited contract,011-050,Product,,No info,No info,No info,No info,No info,No info,No info
DevOps,4,Middle,66000,Full-time employee,Unlimited contract,101-1000,Consulting / Agency,,,,,,AWS; ,,
Product Manager,7,Head,60000,Full-time employee,Unlimited contract,101-1000,Product,,No info,No info,No info,No info,No info,No info,No info
Presales Engineer ,4,Middle,63000,Full-time employee,Unlimited contract,101-1000,Startup,,Java; ,.NET; ,,,,,
Data Scientist,2,Middle,62000,Full-time employee,Unlimited contract,101-1000,Publisher,0,Python; ,,,,,,
Data Scientist,1,Junior,51000,Full-time employee,Unlimited contract,1000+,Product,,Python; ,,,,,,
Backend Developer,11,Senior,154000,Self-employed (freelancer),Temporary contract,011-050,Startup,,Scala; ,,,,,,
Freelance AI lead / advisor,20,Head,200000,Self-employed (freelancer),0,0-10,Consulting / Agency,,C; ,,,,,,
Data Scientist,6,Senior,78000,Full-time employee,Unlimited contract,1000+,E-commerce,,No info,No info,No info,No info,No info,No info,No info
Data Scientist,1,Junior,300000,Full-time employee,,101-1000,Startup,,C++; ,,,,,,
DevOps,10,Lead,78000,,,101-1000,Product,,No info,No info,No info,No info,No info,No info,No info
Software Engineer,5,Senior,57000,Full-time employee,Temporary contract,0-10,Consulting / Agency,0,JavaScript; ,NodeJS; ,,,,,
Data Scientist,4,Middle,45000,Full-time employee,Temporary contract,101-1000,Startup,No,,,,,,,
Frontend Developer,3,Middle,43000,Full-time employee,Unlimited contract,51-100,Product,,,React; ,,,,,
Business Development Manager Operations ,4,Middle,39000,Full-time employee,Temporary contract,1000+,Startup,No,,,,,,,
Frontend Developer,4,Senior,73000,Full-time employee,Unlimited contract,101-1000,Product,0,TypeScript; ,,,,,,
Frontend Developer,11,Senior,74000,Full-time employee,Unlimited contract,1000+,Product,900,TypeScript; ,,,,,,
Program Manager,10,Senior,86000,Full-time employee,Unlimited contract,1000+,Product,400 / month,,,,,,,
Frontend Developer,9,Senior,74000,Full-time employee,Unlimited contract,1000+,Startup,,JavaScript; TypeScript; ,,,,,,
DevOps,10,Middle,55000,Full-time employee,Unlimited contract,101-1000,Product,,Bash; ,,,,,,
Researcher,4,Middle,40000,Full-time employee,Temporary contract,0-10,University,,C++; ,,,,,,
Product Manager,7,Senior,85000,Full-time employee,Unlimited contract,101-1000,Product,350,No info,No info,No info,No info,No info,No info,No info
Software Engineer,4,Middle,56000,Full-time employee,Unlimited contract,1000+,Product,0,Python; ,,,,,,
Software Engineer,7,Middle,70000,Full-time employee,Unlimited contract,51-100,Product,,C++; ,,,,,,
QA Engineer,10,Middle,68000,Full-time employee,Unlimited contract,1000+,Product,,Java; ,,,,,,
QA Engineer,10,Senior,70000,Full-time employee,Unlimited contract,1000+,Product,0,JavaScript; ,,,,,,
Data Scientist,6,Senior,72000,Full-time employee,Unlimited contract,1000+,Startup,,No info,No info,No info,No info,No info,No info,No info
Engineering manager,15,Head,80000,Full-time employee,Unlimited contract,1000+,Product,,Python; ,,,,,,
Software Engineer,15,Principal,77000,Full-time employee,Unlimited contract,1000+,Product,,C++; ,,,,,,
Software Engineer,8,Senior,77000,Full-time employee,Unlimited contract,1000+,Product,,Java; Kotlin; ,,,,,,
Data Scientist,15,Senior,56000,Full-time employee,Unlimited contract,011-050,Product,0,Python; ,,,,,,
Data Scientist,10,Senior,80000,Full-time employee,Unlimited contract,1000+,Energy ,,R; ,,,,,,
Backend Developer,13,Senior,90000,Full-time employee,Unlimited contract,0-10,Startup,,JavaScript; ,NodeJS; ,,,,,
QA Engineer,5,Middle,54000,Full-time employee,Unlimited contract,011-050,Product,,TypeScript; ,,,,,,
Data Scientist,0,intern,20000,Full-time employee,Temporary contract,1000+,Product,,Python; ,,,,,,
Engineering Manager,18,Head,98000,Full-time employee,Unlimited contract,1000+,Product,0,C++; ,,,,,,
Backend Developer,20,Senior,93000,Full-time employee,Unlimited contract,1000+,Product,1000,Python; ,,,,,,
Software Engineer,18,Lead,100000,Full-time employee,Unlimited contract,51-100,Product,,PHP; ,,,,,,
Data Scientist,6,Senior,70000,Full-time employee,Unlimited contract,1000+,Product,700,,,,,,,
Software Engineer,10,Lead,75000,Full-time employee,Unlimited contract,101-1000,Startup,0,,,,,,,
Software Engineer,3,Middle,63000,Full-time employee,Unlimited contract,51-100,Product,,JavaScript; ,,,,,,
Backend Developer,5,Senior,70000,Full-time employee,Unlimited contract,1000+,Product,700,Java; ,,,,,,
Backend Developer,3,Middle,80000,Full-time employee,Unlimited contract,1000+,Product,400,Java; ,,,,,,
ML Engineer,4.5,Middle,75000,Full-time employee,Unlimited contract,011-050,Startup,0,,Pytorch; ,,,,,
QA Engineer,10,Lead,85000,Full-time employee,Unlimited contract,101-1000,Startup,,Java; ,,,,,,
Backend Developer,30,Senior,55000,Full-time employee,Unlimited contract,011-050,Startup,0,PHP; ,,,,,,
Embedded Software Engineer,15,Senior,78000,Full-time employee,Unlimited contract,1000+,Product,,C; C++; ,,,,,,
Software Engineer,9,Lead,99000,Full-time employee,Unlimited contract,101-1000,Startup,,,,,,,,
Backend Developer,15,Senior,90000,Full-time employee,Unlimited contract,011-050,Product,0,Golang; ,,,,,,
Product Manager,15,Lead,52000,Full-time employee,Unlimited contract,011-050,Product,No,Java; ,,,,,,
Software Engineer,16,Senior,36000,Full-time employee,Unlimited contract,1000+,Product,,Java; ,,,,,,
Dana Analyst,4,Middle,45000,Full-time employee,Unlimited contract,011-050,Product,,No info,No info,No info,No info,No info,No info,No info
Backend Developer,14,Middle,75000,Full-time employee,Unlimited contract,101-1000,Product,,JavaScript; ,,,,,,
Team Manager,20,Lead,85000,Full-time employee,Unlimited contract,1000+,Enterprise,300,C#; ,,,,,,
Backend Developer,7,Senior,95000,Full-time employee,Unlimited contract,101-1000,Product,,Java; ,,,,,,
Backend Developer,15,Senior,63000,Full-time employee,Unlimited contract,51-100,Product,0,C; ,,,,,,
Backend Developer,12,Senior,102000,Full-time employee,Unlimited contract,101-1000,Startup,400,Java; ,,,,,,
Software Engineer,10,Lead,95000,Full-time employee,Unlimited contract,1000+,Product,0,C; C++; ,,,,,,
Backend Developer,13,Senior,78600,Full-time employee,Unlimited contract,101-1000,Product,0,Java; ,,,,,,
Software Engineer,10,Lead,70000,Full-time employee,Unlimited contract,101-1000,Product,1500,Java; ,,,,,,
Software Engineer,4,Middle,67000,Full-time employee,Unlimited contract,1000+,Product,0,Java; ,,,,,,
Software Engineer,3,Middle,42000,Full-time employee,Unlimited contract,101-1000,Consulting / Agency,1000,Java; ,,,,,,
QA Engineer,6,Senior,53000,Full-time employee,Unlimited contract,1000+,Consulting / Agency,0,Python; ,,,,,,
Software Engineer,20,Lead,250000,Full-time employee,Unlimited contract,1000+,Product,,Swift; ,,,,,,
Software Engineer,3,Middle,53000,Full-time employee,Unlimited contract,1000+,Product,550,Java; ,,,,,,
Data Analyst,9,Senior,77000,Full-time employee,Unlimited contract,101-1000,Startup,,Python; ,,,,,,
Software Engineer,15,Senior,80000,Full-time employee,Unlimited contract,011-050,Consulting / Agency,0,,.NET; ,,,,,
DevOps,20,Senior,58800,Full-time employee,Unlimited contract,1000+,Bloody enterprise,,,,,,,Linux; UNIX; ,
DevOps,8,Senior,75000,Full-time employee,Unlimited contract,1000+,service,500,,,,,AWS; ,,
Data Engineer,13,Senior,85000,Full-time employee,Unlimited contract,101-1000,Startup,500,Python; ,,,,,,
Software Engineer,15,Senior,70000,Full-time employee,Unlimited contract,011-050,Product,,Java; ,,,,,,
Software Engineer,10,Senior,78000,Full-time employee,Unlimited contract,0-10,Product,0,PHP; ,,,,,,
Data Scientist,5,Senior,75000,Part-time employee,Unlimited contract,51-100,Startup,,Python; ,,,,,,
Software Engineer,27,Senior,57000,Full-time employee,Unlimited contract,101-1000,Consulting / Agency,,Java; ,,,,,,
Software Engineer,10,Lead,120000,Self-employed (freelancer),Temporary contract,1000+,Concern,yes,TypeScript; ,,,,,,
Software Engineer,6,Lead,75000,Full-time employee,Unlimited contract,101-1000,Startup,,Java; ,,,,,,
Data Analyst ,1,Middle,63000,Full-time employee,Unlimited contract,1000+,Product,600,Python; ,,,,,,
Data Scientist,6,Senior,60000,Full-time employee,Unlimited contract,51-100,Consulting / Agency,,Python; ,,,,,,
Mobile Developer,8,Senior,60000,Full-time employee,Unlimited contract,101-1000,Product,0,Swift; ,,,,,,
Backend Developer,4,Middle,44000,Full-time employee,Unlimited contract,101-1000,Product,,Java; ,,,,,,
Frontend Developer,3,Middle,54500,Full-time employee,Unlimited contract,101-1000,Product,,JavaScript; ,,,,,,
Software Engineer,2,Lead,90000,Full-time employee,Unlimited contract,1000+,Product,,,,DWH; ,,,,
Frontend Developer,8,Head,82500,Full-time employee,Unlimited contract,1000+,Product,,JavaScript; ,,,,,,
Data Engineer,10,Middle,75000,Full-time employee,Unlimited contract,011-050,Startup,0,Python; ,,,,,,
QA Engineer,5,Middle,60000,Full-time employee,Unlimited contract,101-1000,Product,,,,,,,,
,13,Principal,108000,Full-time employee,Unlimited contract,1000+,Product,500,Python; ,,,,,,
Mobile Developer,16,Senior,85000,Full-time employee,Unlimited contract,101-1000,Product,,Swift; ,,,,,,
Data Engineer,3,Middle,54000,Full-time employee,Unlimited contract,1000+,Utilities,0,,,,,Azure; ,,
Backend Developer,7,Senior,65000,Full-time employee,Unlimited contract,1000+,Product,0,C++; ,,,,,,
Designer (UI/UX),6,Middle,42000,Full-time employee,Unlimited contract,51-100,Product,,,,,Figma; Sketch; ,,,
Data Scientist,6,Junior,51000,Full-time employee,Unlimited contract,101-1000,Product,,Python; ,,,,,,
Product Manager,5,Lead,76000,Full-time employee,Unlimited contract,51-100,Startup,,No info,No info,No info,No info,No info,No info,No info
Mobile Developer,16,Senior,65000,Full-time employee,Unlimited contract,101-1000,Product,0,,,,,,iOS; ,
Mobile Developer,13,Senior,85000,Full-time employee,Unlimited contract,1000+,Bank,,Kotlin; ,,,,,,
QA Engineer,9,Middle,60000,Full-time employee,Unlimited contract,101-1000,Product,500,No info,No info,No info,No info,No info,No info,No info
Product Manager,13,Head,90000,Full-time employee,Unlimited contract,1000+,Product,300,No info,No info,No info,No info,No info,No info,No info
Software Engineer,7,Senior,86000,Full-time employee,Unlimited contract,1000+,Product,500,Java; ,,,,,,
Software Engineer,8,Senior,60000,Full-time employee,Unlimited contract,51-100,Product,0,JavaScript; ,,,,,,
QA Engineer,10,Senior,81000,Full-time employee,Unlimited contract,1000+,Product,1000,JavaScript; ,,,,,,
DevOps,7,Middle,60000,Full-time employee,Unlimited contract,101-1000,Product,,,,,,,,Kubernetes; 
Software Engineer,12,Senior,74000,Full-time employee,Unlimited contract,101-1000,Product,0,Java; ,,,,,,
Backend Developer,10,Senior,57600,Full-time employee,Unlimited contract,101-1000,Product,,PHP; ,,,,,,
Software Engineer,13,Senior,70000,Full-time employee,Unlimited contract,101-1000,Startup,,Java; ,,,,,,
QA Engineer,8,Senior,75000,Full-time employee,Unlimited contract,101-1000,Product,,Kotlin; ,,,,,,
Software Engineer,11,Senior,65000,Full-time employee,Unlimited contract,011-050,Product,0,Java; ,,,,,,
Software Engineer,11,Lead,90000,Full-time employee,Unlimited contract,1000+,Product,,JavaScript; ,React; NodeJS; ,,,,,
Software Engineer,30,Senior,60000,Full-time employee,Unlimited contract,1000+,Consulting / Agency,,Python; VB; ,,,,,,
Software Engineer,8,Senior,90000,Full-time employee,Unlimited contract,1000+,Product,,Golang; ,,,,,,
Software Engineer,1,Junior,30000,Full-time employee,Unlimited contract,0-10,Product,,,,,,,,
ML Engineer,10,Senior,90000,Full-time employee,Unlimited contract,1000+,Product,,No info,No info,No info,No info,No info,No info,No info
Software Engineer,6,Middle,64000,Full-time employee,Unlimited contract,101-1000,Product,,C; C++; ,,,,,,
Mobile Developer,2,Middle,50000,,,,,,No info,No info,No info,No info,No info,No info,No info
Mobile Developer,2,Middle,44000,Full-time employee,Unlimited contract,1000+,Product,,Objective-C; Swift; ,,,,,iOS; ,
working student (QA),1,Student,12000,working student,Temporary contract,1000+,Product,,Ruby; ,,,,,,
Backend Developer,10,Lead,80000,Full-time employee,Unlimited contract,51-100,Product,,Ruby; ,,,,,,
Software Engineer,9,Lead,73000,Full-time employee,Unlimited contract,101-1000,Product,300,,,,,,,
Architect ,9,Head,120000,Full-time employee,Unlimited contract,1000+,Product,No,Golang; ,,,,,,
Software Engineer,6,Senior,71750,Full-time employee,Unlimited contract,1000+,Product,,JavaScript; TypeScript; ,,,,,,
Backend Developer,5,Middle,65000,Full-time employee,Unlimited contract,51-100,Product,,Kotlin; ,,,,,,
Frontend Developer,7,Senior,80000,Full-time employee,Unlimited contract,011-050,Startup,,JavaScript; ,,,,,,
QA Engineer,8,Senior,60000,Full-time employee,Unlimited contract,101-1000,Consulting / Agency,,Java; ,,,,,,
Backend Developer,7,Senior,66000,Full-time employee,Unlimited contract,1000+,Product,,Java; ,,,,,,
Frontend Developer,13,Lead,85000,Full-time employee,Unlimited contract,101-1000,Product,no,JavaScript; ,,,,,,
Data Scientist,10,Middle,65000,Full-time employee,Unlimited contract,51-100,Product,0,Python; ,,,,,,
Head of Engineering,20,Head,130000,Full-time employee,Unlimited contract,1000+,Corporation,,Java; ,,,,,,
Backend Developer,9,Senior,81900,Full-time employee,Unlimited contract,1000+,Startup,,Java; ,,,,,,
Product Manager,10,Senior,85000,Full-time employee,Unlimited contract,1000+,Product,,No info,No info,No info,No info,No info,No info,No info
QA Engineer,8,Middle,45000,Full-time employee,Unlimited contract,101-1000,Product,,Java; ,,,,,,
SAP Consultant,20,Senior,82000,Full-time employee,Unlimited contract,1000+,Product,,ABAP; ,,,,,,
Data Scientist,15,Head,100000,Full-time employee,Unlimited contract,101-1000,Startup,,Python; ,,,,,,
DevOps,17,Lead,72000,Full-time employee,Unlimited contract,1000+,Consulting / Agency,0,,,,,,,Kubernetes; 
Product Manager,6,Senior,70000,Full-time employee,Unlimited contract,101-1000,Product,,No info,No info,No info,No info,No info,No info,No info
Product Manager,6,Senior,70000,Full-time employee,Unlimited contract,101-1000,Product,,No info,No info,No info,No info,No info,No info,No info
DevOps,10,Middle,62000,Full-time employee,Unlimited contract,101-1000,Product,,Python; ,,,,,,
DevOps,21,Lead,83000,Full-time employee,Unlimited contract,51-100,Startup,,No info,No info,No info,No info,No info,No info,No info
Backend Developer,,Senior,70000,Full-time employee,Unlimited contract,,,,C#; ,,,,,,
Mobile Developer,17,Senior,77000,Full-time employee,Unlimited contract,1000+,Product,500,Swift; ,,,,,,
Software Engineer,8,Middle,71000,Full-time employee,Unlimited contract,101-1000,Product,No,C++; ,,,,,,
Mobile Developer,5,Senior,65000,Full-time employee,Unlimited contract,101-1000,Product,,,,,,,iOS; ,
Software Engineer,18,Senior,120000,Self-employed (freelancer),,0-10,Startup,,JavaScript; ,,,,,,
Backend Developer,4,Middle,43000,Full-time employee,Unlimited contract,0-10,Consulting / Agency,,PHP; ,,,,,,
Software Engineer,18,Senior,81000,Full-time employee,Unlimited contract,1000+,Product,0,No info,No info,No info,No info,No info,No info,No info
Frontend Developer,6,Middle,55000,Full-time employee,Unlimited contract,011-050,Product,,TypeScript; ,,,,,,
QA Engineer,12,Senior,63000,Full-time employee,Unlimited contract,101-1000,Product,,JavaScript; ,,,,,,
Software Engineer,19,Senior,75000,Full-time employee,Unlimited contract,101-1000,Product,,Java; ,,,,,,
Data Scientist,0,Junior,22000,Full-time employee,Unlimited contract,51-100,Product,,Python; ,,,,,,
BI Consultant SAP/ Data Engineer,5,Middle,65000,Full-time employee,Unlimited contract,0-10,Startup,,ABAP; ,,,,,,
DevOps,12,Senior,62000,Full-time employee,,1000+,,,No info,No info,No info,No info,No info,No info,No info
Data Engineer,6,Middle,65000,Full-time employee,Unlimited contract,1000+,Product,600,Python; ,,,,,,
DevOps,3,Middle,37000,Full-time employee,Unlimited contract,51-100,Product,,,,,,,,
Backend Developer,4,Middle,51000,Full-time employee,Unlimited contract,101-1000,Insurance,,PHP; ,,,,,,
Software Engineer,25,"no idea, there are no ranges in the firm ",70000,Full-time employee,Unlimited contract,011-050,Consulting / Agency,,Java; ,,,,,,
Backend Developer,10,Head,93000,Full-time employee,,101-1000,Startup,200,No info,No info,No info,No info,No info,No info,No info
Business Analyst,15,Head,60000,Self-employed (freelancer),Unlimited contract,101-1000,Consulting / Agency,,,,,UML; ,,,
Backend Developer,13,Senior,72000,Full-time employee,Unlimited contract,51-100,Startup,,Python; ,,,,,,
Frontend Developer,13,Senior,70000,Full-time employee,Unlimited contract,011-050,Product,0,JavaScript; ,,,,,,
Data Scientist,2,Lead,70000,Full-time employee,Unlimited contract,1000+,Product,1000,,,,,,,
Frontend Developer,8,Senior,65000,Full-time employee,Unlimited contract,1000+,Product,,JavaScript; ,React; ,,,,,
Data Engineer,4,Middle,51000,Full-time employee,Unlimited contract,011-050,Consulting / Agency,0,Scala; ,,,,,,
DevOps,10,Senior,90000,Full-time employee,Unlimited contract,1000+,Product,,No info,No info,No info,No info,No info,No info,No info
QA Engineer,1,Head,159000,Full-time employee,Unlimited contract,1000+,Product,2000,Cobol; ,,,,,,
Engineering Manager,20,Lead,105000,Full-time employee,Unlimited contract,1000+,Product,,Java; ,,,,,,
Software Engineer,11,Senior,80000,Full-time employee,Unlimited contract,101-1000,Product,600,JavaScript; ,,,,,,
Software Engineer,1,Junior,50000,Full-time employee,Unlimited contract,51-100,Consulting / Agency,0,ABAP; ,,,,,,
Frontend Developer,5,Middle,72000,Full-time employee,Unlimited contract,011-050,Product,,JavaScript; ,,,,,,
DevOps,16,Senior,105000,Full-time employee,Unlimited contract,1000+,Product,900,,,,,,,
Data Engineer,2,Junior,49000,Full-time employee,Unlimited contract,011-050,Consulting / Agency,,Python; ,,,,,,
Backend Developer,4,Middle,55000,Full-time employee,Unlimited contract,101-1000,Product,,Java; ,,,,,,
Backend Developer,5,Middle,66000,Full-time employee,Unlimited contract,101-1000,Product,,Java; ,,,,,,
Mobile Developer,6,Middle,85000,Full-time employee,Unlimited contract,1000+,Product,440,,,,,,Android; ,
Mobile Developer,8,Senior,85000,Full-time employee,Unlimited contract,51-100,Startup,,Clojure; ,,,,,,
Frontend Developer,6,Senior,79000,Full-time employee,Unlimited contract,1000+,Product,700,JavaScript; ,,,,,,
QA Engineer,10,Middle,42000,Full-time employee,Unlimited contract,011-050,Startup,75% from government ,JavaScript; ,,,,,,
Backend Developer,8,Middle,74000,Full-time employee,Unlimited contract,1000+,Product,40 every month,Python; ,,,,,,
Backend Developer,8,Lead,67000,Full-time employee,Unlimited contract,51-100,Startup,,Ruby; ,,,,,,
DevOps,9,Middle,74000,Full-time employee,Unlimited contract,101-1000,Product,0,,,,,AWS; GCP; ,,Kubernetes; 
Frontend Developer,3,Middle,48000,Full-time employee,Unlimited contract,51-100,Consulting / Agency,0,JavaScript; ,,,,,,
Product Manager,8,Middle,57760,Full-time employee,Unlimited contract,011-050,Product,,No info,No info,No info,No info,No info,No info,No info
Software Engineer,13,Lead,103000,Full-time employee,Unlimited contract,101-1000,Startup,1000,TypeScript; ,,,,,,
Frontend Developer,10,Senior,74000,Full-time employee,Unlimited contract,101-1000,Startup,200,JavaScript; ,,,,,,
Backend Developer,13,Senior,70000,Full-time employee,Unlimited contract,101-1000,Product,500,Elixir; ,,,,,,
Backend Developer,6,Senior,86000,Full-time employee,Unlimited contract,101-1000,Startup,500,Golang; ,,,,,,
QA Engineer,5,Middle,46000,Full-time employee,Unlimited contract,51-100,Product,No,Java; ,,,,,,
computer vision researcher,3,Junior,23000,Full-time employee,Temporary contract,51-100,Science Institute ,,Python; ,,,,,,
Backend Developer,14,Lead,135000,Self-employed (freelancer),Temporary contract,101-1000,Product,0,,Spring; ,,,,,
Software Engineer,11,Senior,80000,Full-time employee,Temporary contract,101-1000,Research institute,,Python; ,,,,,,
Teamlead,12,Head,75000,Full-time employee,Unlimited contract,0-10,Startup,0,PHP; ,,,,,,
Software Engineer,2,Junior,50000,Full-time employee,Unlimited contract,1000+,Product,,JavaScript; ,,,,,,
Software Engineer,3,Middle,29000,Full-time employee,Unlimited contract,011-050,Startup,,Java; ,,,,,,
Engineering Manager,15,Lead,78000,Full-time employee,Unlimited contract,101-1000,Product,,Java; ,,,,,,
Backend Developer,8,Senior,75000,Full-time employee,Temporary contract,011-050,Product,,C#; ,,,,,,
Backend Developer,2.5,Middle,60000,Full-time employee,Unlimited contract,101-1000,Product,,Java; ,,,,,,
Software Engineer,6,Middle,70000,Full-time employee,Unlimited contract,1000+,Product,600,Swift; ,,,,,,
Software Engineer,5,Middle,55000,Full-time employee,Unlimited contract,011-050,Startup,,PHP; ,,,,,,
Software Engineer,8,Senior,36000,Full-time employee,Unlimited contract,1000+,Product,,C; C++; ,,,,,,
Hardware Engineer,12,Senior,56000,Full-time employee,Unlimited contract,0-10,Product,1000,No info,No info,No info,No info,No info,No info,No info
Backend Developer,9,Head,85000,Full-time employee,Unlimited contract,51-100,Startup,,Java; ,,,,,,
ML Engineer,7,Middle,80000,Full-time employee,Unlimited contract,1000+,Product,500,Python; ,,,,,,
Mobile Developer,8,Senior,75000,Full-time employee,Unlimited contract,1000+,Product,,,,,,,,
Software Engineer,1,Junior,57000,Full-time employee,Unlimited contract,1000+,Retail,0,,React; ,,,,,
Software Engineer,16,Middle,65000,Full-time employee,Unlimited contract,51-100,Consulting / Agency,0,,.NET; ,,,,,
DevOps,7,Middle,80000,Full-time employee,Unlimited contract,1000+,Startup,,No info,No info,No info,No info,No info,No info,No info
Mobile Developer,8,Senior,60000,Self-employed (freelancer),Temporary contract,0-10,Consulting / Agency,No,Swift; ,,,,,,
QA Engineer,1,Junior,11000,,,,,,JavaScript; ,,,,,,
